run,ok,x0,y0,z0,vx0,vy0,vz0,xf,yf,zf,vxf,vyf,vzf,phi_f_deg,theta_f_deg,psi_f_deg,dist_xy,succ_pos,succ_vel,succ_eul,success,prop_main,prop_rcs
132,1,294275.710767194,0,13960.0542093482,-1672.6515081728,0,0,1.05205293704492,0.821761128675295,0.499709684886897,0.018354099330009,0.00207514980759758,-0.100072076866932,-0.0406203350857394,-0.0218963482561801,0.00829549039959343,1.33495570523765,1,1,1,1,6473.7864801211,15.8844170767201
133,1,289789.083445604,0,16296.3548474508,-1672.6515081728,0,0,-0.471600424594059,1.39180759348879,0.499757579489791,0.0200758251315825,0.0187750978895985,-0.10006843623427,-0.0124354214057398,-0.00466097685639675,0.027972757522426,1.46953575586657,1,1,1,1,6519.74366857939,13.5448996646685
134,1,300832.234961668,0,15228.8650805004,-1672.6515081728,0,0,1.28391144694331,1.04943918375146,0.499923214895317,0.0200754921924398,-0.00620154232239456,-0.10006460178852,0.0905568120417745,-0.000457600049430214,0.0307599409794022,1.65823737865995,1,1,1,1,6527.01778103573,13.283351503286
135,1,285056.141983783,0,14852.5181142124,-1672.6515081728,0,0,1.34347925442472,0.408269985693807,0.49928933145778,0.0171873587172489,0.0165662037655797,-0.10006660334133,0.0125138776790151,0.0224245123098146,0.0548599019258819,1.40414418358231,1,1,1,1,6497.29537993435,12.3092390597117
136,1,317515.471447955,0,16109.6890861864,-1672.6515081728,0,0,0.489176526169873,0.766776726229324,0.499645001267311,-0.00745720438369875,-0.00396467688497831,-0.100072678878407,-0.0202280846219505,-0.0475593775897094,0.0430875888091546,0.909527471626109,1,1,1,1,6495.25739251014,15.3530830165887
137,1,294732.091889511,0,15908.560345794,-1672.6515081728,0,0,-0.857030164562841,-0.408338952565023,0.499639770599846,-0.0188728442321334,0.00544624748817966,-0.100072755248692,0.0570557715608835,-0.0339937414569118,0.0456979628686672,0.949337349498328,1,1,1,1,6516.92062772942,13.7652591392191
138,1,279809.517280676,0,14539.0379830979,-1672.6515081728,0,0,1.21090861517919,-0.673034090015665,0.499214168885769,0.0191566348904309,-0.0045988292554451,-0.100064224014333,0.0392403478442929,-0.0168785835387173,0.0445753251945146,1.38537885094237,1,1,1,1,6490.89979111041,13.3863232203657
139,1,303197.051232301,0,13922.5710611394,-1672.6515081728,0,0,-0.800585121683636,0.778098292809568,0.499656435133915,0.00205943471093913,0.00732060906615061,-0.100069726041899,0.0718393997834996,0.0739979116611637,0.0450391242170275,1.11641098630136,1,1,1,1,6428.41394502154,15.1306641076964
140,1,289353.700911503,0,15241.7650508341,-1672.6515081728,0,0,1.22016357270494,1.77953206428103,0.499727379507671,0.00517885529681691,-7.96776118325794e-05,-0.100068666744961,-0.0353299638570848,0.051531872429049,0.0296490657522873,2.15766853616592,1,1,1,1,6504.53697601559,13.7858534826351
141,1,261261.404312653,0,13945.9881832593,-1672.6515081728,0,0,-0.277083308930745,-0.129020679642472,0.499846004795214,0.0197139190441181,-0.000557216520801584,-0.100070573537834,0.0530193178777821,0.00920879904766263,0.0503852776443964,0.305649302082331,1,1,1,1,6488.6551711552,11.88087671666
142,1,265444.232348815,0,13701.2294321653,-1672.6515081728,0,0,0.980999510726546,0.761260988769925,0.499249619485625,0.0202384345839953,0.0189721216968608,-0.100064311983291,-0.006045894841513,-0.00745384949293948,0.0590899343905864,1.2417239359329,1,1,1,1,6478.54982468031,11.2321548990576
143,1,272654.729757724,0,13609.6490035443,-1672.6515081728,0,0,-0.644880744809832,1.23780229290025,0.499167913228392,-0.00591470670389392,0.0214670328779301,-0.100070716745146,0.000760258494561396,-0.0703338665610617,0.0362451072062324,1.39571690945392,1,1,1,1,6473.78957500983,12.5069447565048
144,1,293201.819688256,0,15073.1708079827,-1672.6515081728,0,0,1.3721300365352,-0.296433273386024,0.499558315115404,-0.000775039178377085,0.00251888303528535,-0.100069310156872,-0.0614529500422767,0.0621689346332785,0.00299906338963676,1.40378542617184,1,1,1,1,6505.68006091487,12.6284513826588
145,1,283703.399475438,0,16085.3568630406,-1672.6515081728,0,0,-0.0973026961692399,1.74798938916585,0.499525959536805,0.00686207734312363,0.0215113158418362,-0.100071107204977,-0.0192676389643814,0.0719220558173421,0.0241507115923483,1.75069549588676,1,1,1,1,6517.22129374616,12.6511051604164
146,1,282114.112139293,0,13576.159066981,-1672.6515081728,0,0,0.337200107089548,-0.743336065553823,0.499380273731624,-0.0150383983465254,0.00942243009648912,-0.100072142904591,0.0814941814382492,-0.0580695007201618,0.0350674247221257,0.81624286739563,1,1,1,1,6476.59713090395,14.8114517847493
147,1,301950.744100895,0,14193.2243897642,-1672.6515081728,0,0,-0.161000503599934,0.406693297905744,0.499841949398406,0.0176532254959336,0.0179130772130973,-0.100070010453384,0.0113428868394174,-0.0154926077867862,0.00807110976297584,0.437402104156899,1,1,1,1,6447.6880348032,17.1468503281177
148,1,261644.406856276,0,15458.2383235556,-1672.6515081728,0,0,-0.63528753042765,-0.126094420284083,0.499469040029837,0.0202142229639664,0.0127031753595517,-0.100073744855939,0.0826983522295992,-0.0054038495698819,0.0462266069415087,0.647680514716663,1,1,1,1,6526.31272808756,10.4166188997861
149,1,266259.997189255,0,15990.659593701,-1672.6515081728,0,0,-0.21433698506276,1.29839143116349,0.499210750114373,0.0194658672365569,0.0167989581832887,-0.100059521718781,-0.0411384779288973,0.00529178142304563,0.0323328197682471,1.31596377293776,1,1,1,1,6532.34252857764,11.5184162725393
150,1,299178.577664535,0,13539.0057705322,-1672.6515081728,0,0,1.48127738066312,0.832896594431467,0.499705167190606,0.0199007403017787,0.0183586289509188,-0.100070231535005,0.0123147185346626,0.00060168861446115,0.00911678524305534,1.69938206871784,1,1,1,1,6418.89760503159,16.3889784904108
